transaction_id,cardholder_id,merchant_id,merchant_category,transaction_timestamp,transaction_hour,transaction_day_of_week,transaction_amount_inr,country_code,is_international,pos_entry_mode,velocity_last_1h,velocity_last_24h,avg_txn_amount_30d,std_txn_amount_30d,distance_from_home_km,card_age_days,credit_limit_inr,is_fraud
TXN00001191,CH_003186,MER_00510,travel,2023-05-28 21:44:03,21,6,52.71,IN,0,CHIP,1,1,65.79,214.0,92.1,1233,300000,0
TXN00049437,CH_003558,MER_00382,utilities,2023-12-31 13:01:56,13,6,91.9,IN,0,CHIP,2,2,127.64,175.3,267.0,481,75000,0
TXN00009761,CH_005471,MER_00014,utilities,2023-09-14 23:37:46,23,3,579.22,IN,0,CHIP,0,7,204.68,351.95,24.2,333,100000,0
TXN00014534,CH_006496,MER_00206,online_retail,2023-04-21 05:14:53,5,4,395.07,IN,0,CHIP,3,2,16.58,244.4,187.0,1095,50000,0
TXN00001328,CH_000947,MER_00423,electronics,2023-07-15 12:19:23,12,5,136.54,IN,0,SWIPE,1,0,22.8,606.33,64.7,1617,300000,0
TXN00052172,CH_007353,MER_00773,grocery,2023-08-23 02:07:17,2,2,24.34,IN,0,CHIP,3,8,588.13,547.35,200.0,1590,200000,0
TXN00015028,CH_006418,MER_00498,travel,2023-06-23 09:41:48,9,4,245.06,IN,0,CHIP,1,7,102.87,303.85,84.6,1739,150000,0
TXN00049619,CH_003184,MER_00391,fuel,2023-01-16 14:39:32,14,0,204.71,IN,0,CHIP,3,6,141.12,369.26,251.1,796,100000,0
TXN00042711,CH_001779,MER_00328,entertainment,2023-05-19 12:56:55,12,4,421.82,IN,0,CHIP,3,7,122.55,76.45,113.0,1480,300000,0
TXN00032813,CH_007921,MER_00399,fuel,2023-01-30 01:46:54,1,0,65.52,SG,1,SWIPE,3,6,43.2,421.31,241.0,1058,100000,0
TXN00053878,CH_006062,MER_00198,entertainment,2023-12-28 20:59:29,20,3,152.17,IN,0,CHIP,3,7,91.39,214.67,272.0,913,200000,0
TXN00009267,CH_004607,MER_00349,jewellery,2023-08-08 18:12:17,18,1,119.19,IN,0,CHIP,3,8,42.33,276.62,161.4,1127,150000,0
TXN00018664,CH_001065,MER_00786,utilities,2023-06-26 07:43:39,7,0,72.56,AE,1,CNP,1,3,126.38,269.32,281.6,618,500000,0
TXN00024069,CH_000750,MER_00295,entertainment,2023-03-19 20:59:33,20,6,224.2,IN,0,CHIP,2,1,49.66,376.71,85.3,861,200000,0
TXN00045841,CH_004270,MER_00116,jewellery,2023-10-31 10:04:25,10,1,90.0,IN,0,CHIP,2,5,82.4,428.93,199.4,1290,300000,0
TXN00034180,CH_007161,MER_00027,fuel,2023-07-02 02:15:02,2,6,58.29,IN,0,CHIP,1,0,69.69,408.38,22.8,1697,300000,0
TXN00000717,CH_003280,MER_00007,online_retail,2023-07-05 00:04:22,0,2,45.02,IN,0,CHIP,1,4,79.94,51.79,132.1,1322,200000,0
TXN00006483,CH_005199,MER_00334,online_retail,2023-03-12 14:42:15,14,6,129.21,IN,0,SWIPE,3,4,123.0,248.31,164.8,211,75000,0
TXN00054159,CH_004774,MER_00357,jewellery,2023-11-24 10:28:53,10,4,120.46,IN,0,CHIP,1,8,141.38,19.94,215.3,328,100000,0
TXN00007576,CH_007315,MER_00668,electronics,2023-01-09 21:42:06,21,0,60.71,IN,0,CHIP,3,6,39.09,286.01,45.8,1037,200000,0
TXN00042474,CH_006910,MER_00144,online_retail,2023-12-22 18:08:46,18,4,702.04,IN,0,CHIP,1,5,119.75,273.36,230.3,1536,300000,0
TXN00017416,CH_005168,MER_00736,jewellery,2023-06-14 19:51:56,19,2,7.48,IN,0,CNP,1,3,60.23,319.4,223.9,1312,100000,0
TXN00034355,CH_001284,MER_00376,travel,2023-04-11 10:14:48,10,1,40.43,IN,0,CHIP,2,2,63.47,410.46,149.4,719,500000,0
TXN00029619,CH_006655,MER_00203,online_retail,2023-07-26 09:31:54,9,2,139.26,IN,0,SWIPE,2,5,98.27,300.23,194.3,1780,75000,0
TXN00050640,CH_007661,MER_00635,healthcare,2023-07-04 11:50:21,11,1,81.39,IN,0,SWIPE,1,3,197.09,361.1,158.6,1084,75000,0
TXN00040362,CH_003609,MER_00529,healthcare,2023-07-08 10:09:15,10,5,166.46,IN,0,SWIPE,1,6,31.6,196.28,73.6,909,500000,0
TXN00014246,CH_000387,MER_00052,entertainment,2023-10-18 01:15:26,1,2,48.16,IN,0,CHIP,0,5,143.98,516.18,167.0,1284,300000,0
TXN00018833,CH_004174,MER_00293,entertainment,2023-12-02 12:57:11,12,5,232.35,IN,0,CNP,2,5,47.66,446.09,63.0,1602,500000,0
TXN00029259,CH_001736,MER_00569,online_retail,2023-11-26 12:42:08,12,6,85.64,IN,0,CNP,2,6,127.59,205.99,246.1,107,200000,0
TXN00052864,CH_005325,MER_00722,electronics,2023-11-30 08:49:56,8,3,536.99,IN,0,CHIP,0,8,90.84,398.88,146.3,1490,200000,0
TXN00010927,CH_005949,MER_00080,jewellery,2023-01-26 15:47:03,15,3,25.88,IN,0,SWIPE,2,2,85.24,505.26,83.3,1643,100000,0
TXN00009139,CH_006628,MER_00023,jewellery,2023-12-06 02:37:13,2,2,74.65,IN,0,CHIP,2,3,65.28,200.83,159.3,1543,150000,0
TXN00006281,CH_004343,MER_00719,fuel,2023-11-01 14:46:03,14,2,367.69,IN,0,SWIPE,3,5,62.95,67.3,288.6,710,100000,0
TXN00026358,CH_006285,MER_00017,healthcare,2023-07-21 02:21:58,2,4,149.08,AE,1,SWIPE,1,2,164.55,89.99,203.9,652,50000,0
TXN00028738,CH_000600,MER_00524,grocery,2023-06-24 21:51:34,21,5,119.85,IN,0,CHIP,0,3,58.68,278.39,216.1,204,150000,0
TXN00030118,CH_003037,MER_00407,entertainment,2023-12-20 07:23:27,7,2,272.17,SG,1,CHIP,0,2,50.58,260.01,93.7,1080,500000,0
TXN00023569,CH_005180,MER_00166,entertainment,2023-09-06 19:15:03,19,2,119.79,IN,0,CHIP,0,5,24.11,198.13,213.3,168,50000,0
TXN00001145,CH_005090,MER_00559,travel,2023-08-14 03:47:17,3,0,123.43,IN,0,CNP,2,5,38.83,126.94,299.0,411,100000,0
TXN00003079,CH_006579,MER_00607,travel,2023-04-02 05:05:52,5,6,419.07,IN,0,CHIP,0,4,105.55,560.02,48.0,1223,200000,0
TXN00023924,CH_005047,MER_00381,entertainment,2023-09-21 02:27:23,2,3,449.15,IN,0,CHIP,2,6,19.97,238.62,6.3,1216,200000,0
TXN00004717,CH_003045,MER_00221,travel,2023-01-19 19:54:12,19,3,423.62,AE,1,CHIP,1,1,28.93,491.17,105.6,1033,75000,0
TXN00018606,CH_003862,MER_00624,fuel,2023-11-28 13:03:00,13,1,182.17,IN,0,SWIPE,1,3,62.13,333.63,287.2,550,100000,0
TXN00042556,CH_003715,MER_00215,healthcare,2023-07-27 04:30:18,4,3,93.94,IN,0,CHIP,0,0,76.04,220.52,65.5,176,300000,0
TXN00002077,CH_001494,MER_00590,grocery,2023-02-18 08:44:00,8,5,246.08,IN,0,CNP,1,3,128.97,110.42,228.3,388,200000,0
TXN00023429,CH_001848,MER_00273,online_retail,2023-04-25 04:21:08,4,1,38.7,IN,0,CNP,2,3,51.64,160.6,200.0,914,150000,0
TXN00001441,CH_006703,MER_00396,grocery,2023-03-20 21:29:04,21,0,177.1,IN,0,CHIP,0,2,127.95,90.65,230.3,550,100000,0
TXN00000467,CH_000265,MER_00783,healthcare,2023-01-08 08:26:14,8,6,81.81,IN,0,CHIP,1,1,21.21,266.97,53.1,929,500000,0
TXN00047479,CH_002387,MER_00658,fuel,2023-04-15 06:38:48,6,5,110.65,IN,0,CHIP,0,4,55.27,342.77,2.2,836,50000,0
TXN00029154,CH_003065,MER_00747,healthcare,2023-02-06 21:38:41,21,0,272.61,IN,0,CNP,0,6,101.81,255.45,97.6,110,50000,0
TXN00025095,CH_003743,MER_00522,electronics,2023-07-25 11:43:26,11,1,82.32,IN,0,CNP,1,6,47.34,320.93,154.7,1134,75000,0
TXN00022454,CH_007850,MER_00693,fuel,2023-09-11 12:26:12,12,0,130.88,IN,0,CHIP,1,0,174.24,286.28,299.3,823,500000,0
TXN00049082,CH_001800,MER_00229,fuel,2023-06-19 11:49:30,11,0,62.68,IN,0,SWIPE,1,6,79.38,377.63,274.1,811,500000,0
TXN00002742,CH_007349,MER_00625,jewellery,2023-10-11 21:46:20,21,2,36.96,IN,0,CHIP,0,3,17.4,482.51,107.1,1211,150000,0
TXN00013836,CH_006970,MER_00057,grocery,2023-05-04 18:22:14,18,3,666.39,IN,0,CHIP,1,7,77.46,178.86,262.0,1723,500000,0
TXN00018097,CH_001950,MER_00313,grocery,2023-07-12 11:40:31,11,2,35.19,IN,0,CNP,2,5,72.19,399.11,268.5,1415,150000,0
TXN00032606,CH_004519,MER_00483,utilities,2023-08-19 10:20:39,10,5,319.35,IN,0,CNP,2,2,153.41,63.33,254.8,402,50000,0
TXN00037761,CH_000280,MER_00524,travel,2023-03-27 19:59:59,19,0,35.57,IN,0,CHIP,3,8,71.62,406.92,187.7,949,150000,0
TXN00008470,CH_000642,MER_00310,healthcare,2023-07-02 07:30:25,7,6,75.36,IN,0,CHIP,0,8,106.45,448.74,256.1,142,50000,0
TXN00042610,CH_006217,MER_00685,electronics,2023-01-12 15:03:11,15,3,82.12,IN,0,CHIP,1,8,102.46,375.76,164.6,804,100000,0
TXN00053457,CH_004499,MER_00351,grocery,2023-06-05 21:45:06,21,0,390.15,IN,0,CHIP,1,1,102.84,405.54,108.7,1386,500000,0
TXN00007625,CH_005400,MER_00248,online_retail,2023-07-03 19:21:20,19,0,295.9,IN,0,SWIPE,1,5,167.23,53.66,213.2,1370,300000,0
TXN00051312,CH_004794,MER_00272,grocery,2023-08-08 12:09:36,12,1,269.77,IN,0,CHIP,1,1,166.67,645.99,221.4,696,300000,0
TXN00053769,CH_006025,MER_00776,grocery,2023-08-04 15:48:58,15,4,601.94,IN,0,CHIP,0,6,95.41,335.2,29.1,754,75000,0
TXN00054164,CH_004642,MER_00467,healthcare,2023-10-11 01:56:50,1,2,76.31,IN,0,CNP,0,8,47.26,56.59,135.9,1002,300000,0
TXN00049150,CH_003381,MER_00363,electronics,2023-09-01 12:16:45,12,4,89.5,IN,0,SWIPE,2,1,74.4,194.42,270.5,153,500000,0
TXN00017814,CH_005217,MER_00145,jewellery,2023-03-03 12:49:57,12,4,568.52,IN,0,CNP,1,3,194.7,78.38,133.9,789,75000,0
TXN00008937,CH_003803,MER_00347,restaurant,2023-10-21 10:31:51,10,5,24.57,IN,0,CHIP,1,7,113.04,403.29,116.5,419,50000,0
TXN00025453,CH_003817,MER_00267,grocery,2023-11-09 16:36:08,16,3,262.31,IN,0,SWIPE,0,7,65.14,199.89,221.8,466,300000,0
TXN00008440,CH_002247,MER_00236,restaurant,2023-03-08 14:34:50,14,2,20.27,DE,1,CHIP,3,4,41.25,173.91,202.8,1231,75000,0
TXN00002331,CH_006790,MER_00321,entertainment,2023-12-17 07:44:29,7,6,594.22,IN,0,SWIPE,1,7,182.03,115.65,55.9,1760,50000,0
TXN00026072,CH_003957,MER_00544,electronics,2023-10-22 19:01:59,19,6,162.59,IN,0,CHIP,0,8,133.84,465.2,19.7,1229,200000,0
TXN00051884,CH_005223,MER_00510,electronics,2023-04-02 23:24:36,23,6,81.99,IN,0,CHIP,3,3,221.38,452.54,249.4,1324,100000,0
TXN00041100,CH_003743,MER_00256,entertainment,2023-11-11 17:19:14,17,5,90.76,IN,0,CNP,0,5,133.08,487.83,238.3,643,500000,0
TXN00010714,CH_003798,MER_00230,healthcare,2023-08-07 23:46:25,23,0,319.03,IN,0,CHIP,3,4,206.05,268.78,137.3,1090,100000,0
TXN00032632,CH_004472,MER_00437,restaurant,2023-08-13 23:53:51,23,6,87.2,IN,0,CNP,3,0,100.19,407.8,27.2,479,200000,0
TXN00016753,CH_006512,MER_00635,fuel,2023-10-09 05:00:48,5,0,74.76,IN,0,CHIP,3,3,95.2,469.47,241.9,967,200000,0
TXN00008521,CH_006569,MER_00266,utilities,2023-05-26 16:55:37,16,4,71.28,IN,0,CNP,0,6,28.15,341.06,223.1,1175,300000,0
TXN00019906,CH_004052,MER_00098,travel,2023-03-09 13:09:43,13,3,348.48,IN,0,CNP,2,7,183.31,304.25,178.9,531,500000,0
TXN00016676,CH_005813,MER_00362,jewellery,2023-02-08 11:09:59,11,2,140.91,IN,0,SWIPE,0,7,224.33,296.52,32.0,153,300000,0
TXN00002972,CH_003926,MER_00527,online_retail,2023-01-30 19:00:12,19,0,62.99,IN,0,SWIPE,1,6,57.41,592.34,241.1,554,75000,0
TXN00031174,CH_001357,MER_00010,grocery,2023-05-21 06:16:23,6,6,54.04,IN,0,CHIP,0,8,368.43,298.07,8.6,493,75000,0
TXN00024965,CH_000945,MER_00269,fuel,2023-07-01 19:06:03,19,5,61.93,AU,1,CHIP,3,7,94.07,564.1,220.0,329,75000,0
TXN00031574,CH_002559,MER_00418,travel,2023-10-27 11:31:09,11,4,83.14,IN,0,CHIP,2,2,141.58,547.1,99.2,904,500000,0
TXN00049599,CH_001581,MER_00742,grocery,2023-08-10 02:54:10,2,3,34.91,IN,0,SWIPE,0,3,62.86,133.49,165.5,873,300000,0
TXN00042670,CH_006876,MER_00301,online_retail,2023-07-30 17:06:21,17,6,45.17,IN,0,CHIP,1,8,77.8,373.13,140.2,785,75000,0
TXN00024380,CH_003922,MER_00429,electronics,2023-09-05 07:55:06,7,1,289.04,IN,0,CHIP,2,0,148.59,126.4,192.4,1337,100000,0
TXN00042631,CH_001007,MER_00063,healthcare,2023-06-25 18:17:57,18,6,180.57,IN,0,CHIP,1,3,181.75,455.42,45.6,164,50000,0
TXN00018113,CH_002701,MER_00026,entertainment,2023-05-18 09:03:09,9,3,862.14,IN,0,CHIP,1,2,28.01,517.05,100.7,695,150000,0
TXN00011013,CH_001782,MER_00147,travel,2023-03-08 11:49:59,11,2,74.39,IN,0,CHIP,1,0,52.44,160.73,236.6,433,150000,0
TXN00034048,CH_000384,MER_00601,travel,2023-12-27 03:00:46,3,2,48.76,IN,0,CNP,1,2,27.89,345.15,228.6,1700,500000,0
TXN00036743,CH_000722,MER_00720,grocery,2023-12-11 10:00:07,10,0,134.46,IN,0,CHIP,0,7,162.53,253.43,191.9,1219,50000,0
TXN00022124,CH_002446,MER_00410,utilities,2023-01-14 15:18:24,15,5,143.98,IN,0,CNP,3,3,62.29,258.58,158.6,1298,150000,0
TXN00044090,CH_007212,MER_00443,online_retail,2023-05-06 13:50:55,13,5,160.05,DE,1,CHIP,2,6,457.06,222.9,218.6,245,100000,0
TXN00008175,CH_003548,MER_00064,entertainment,2023-05-06 13:01:10,13,5,190.34,IN,0,CNP,1,0,126.07,472.21,104.5,277,75000,0
TXN00005827,CH_007808,MER_00073,utilities,2023-07-28 22:43:07,22,4,53.54,DE,1,SWIPE,1,3,174.02,54.52,116.8,865,300000,0
TXN00047155,CH_003652,MER_00186,entertainment,2023-07-01 05:02:07,5,5,70.67,IN,0,CHIP,2,1,81.08,357.4,157.0,239,75000,0
TXN00004430,CH_003738,MER_00631,entertainment,2023-11-10 01:08:22,1,4,37.89,IN,0,CNP,1,1,24.37,217.64,7.8,457,75000,0
TXN00029568,CH_007404,MER_00115,electronics,2023-04-12 01:19:18,1,2,446.69,IN,0,CHIP,2,7,142.61,192.06,116.0,957,150000,0
TXN00025278,CH_002770,MER_00387,jewellery,2023-06-20 04:32:02,4,1,1216.45,IN,0,CHIP,0,0,96.53,301.69,200.1,1046,200000,0
TXN00009133,CH_001476,MER_00517,electronics,2023-12-26 23:41:11,23,1,124.28,IN,0,CHIP,3,2,123.21,452.65,53.6,1128,150000,0
TXN00027369,CH_002800,MER_00252,healthcare,2023-03-08 22:05:13,22,2,40.63,IN,0,CHIP,0,8,121.95,500.31,261.2,378,75000,0
TXN00035837,CH_004224,MER_00408,entertainment,2023-11-30 12:43:36,12,3,46.63,IN,0,CNP,1,5,179.97,183.03,171.4,631,100000,0
TXN00015449,CH_001262,MER_00713,healthcare,2023-07-16 12:32:40,12,6,334.82,IN,0,CHIP,1,1,86.74,307.11,188.1,299,75000,0
TXN00045830,CH_002439,MER_00414,electronics,2023-04-23 20:46:14,20,6,48.5,IN,0,CHIP,3,0,139.1,135.19,155.6,1249,500000,0
TXN00045283,CH_005662,MER_00095,electronics,2023-02-12 23:35:33,23,6,60.6,IN,0,CNP,3,5,110.48,296.98,250.1,675,200000,0
TXN00054745,CH_006750,MER_00039,online_retail,2023-05-30 00:34:41,0,1,56.01,US,1,CHIP,1,4,94.52,72.86,92.5,326,50000,0
TXN00019352,CH_003745,MER_00161,utilities,2023-11-04 01:13:58,1,5,758.23,IN,0,CHIP,0,8,100.03,181.21,16.4,523,300000,0
TXN00052919,CH_002775,MER_00750,utilities,2023-09-18 15:47:19,15,0,117.41,AE,1,CNP,3,4,56.0,308.41,58.8,1599,200000,0
TXN00018470,CH_002219,MER_00646,online_retail,2023-07-05 21:41:31,21,2,74.99,SG,1,SWIPE,2,2,130.98,240.54,240.8,118,200000,0
TXN00018341,CH_003829,MER_00549,entertainment,2023-10-01 19:26:30,19,6,1736.77,IN,0,SWIPE,1,4,65.8,289.34,189.5,152,150000,0
TXN00035732,CH_007941,MER_00077,grocery,2023-01-16 19:19:47,19,0,240.5,IN,0,CNP,1,2,58.8,157.35,86.9,1755,300000,0
TXN00004059,CH_000323,MER_00471,grocery,2023-03-24 19:01:32,19,4,73.79,IN,0,SWIPE,0,1,48.93,258.35,196.6,964,50000,0
TXN00005012,CH_000542,MER_00325,fuel,2023-03-10 19:10:28,19,4,209.92,IN,0,CHIP,1,0,55.4,424.38,126.5,994,150000,0
TXN00000232,CH_003749,MER_00269,fuel,2023-12-10 15:33:40,15,6,177.6,IN,0,SWIPE,3,1,176.68,376.09,104.4,1761,150000,0
TXN00035991,CH_000281,MER_00653,fuel,2023-02-03 04:50:38,4,4,301.27,IN,0,CHIP,3,0,250.3,246.89,131.0,1524,100000,0
TXN00027480,CH_000397,MER_00050,entertainment,2023-02-28 14:57:29,14,1,74.87,IN,0,CHIP,2,4,71.95,345.45,122.6,1123,500000,0
TXN00037417,CH_001276,MER_00380,healthcare,2023-12-12 21:10:57,21,1,85.68,CA,1,CNP,3,0,101.51,552.17,19.1,137,50000,0
TXN00052999,CH_003617,MER_00413,healthcare,2023-12-01 15:36:09,15,4,51.46,IN,0,SWIPE,2,8,76.16,187.47,273.8,1154,150000,0
TXN00016972,CH_000093,MER_00788,restaurant,2023-09-11 04:49:54,4,0,417.71,IN,0,CHIP,1,0,83.14,349.51,56.9,872,500000,0
TXN00054578,CH_005981,MER_00513,restaurant,2023-07-02 16:22:54,16,6,137.91,IN,0,CNP,3,7,122.95,190.24,258.6,432,150000,0
TXN00020265,CH_007599,MER_00241,jewellery,2023-03-01 19:22:01,19,2,48.85,IN,0,CHIP,3,6,198.94,363.98,136.8,1051,100000,0
TXN00054432,CH_000700,MER_00091,healthcare,2023-09-05 21:55:34,21,1,23.35,IN,0,CHIP,3,2,41.44,313.99,226.5,1725,500000,0
TXN00024289,CH_003912,MER_00704,healthcare,2023-06-10 02:33:17,2,5,57.93,IN,0,CHIP,0,7,101.45,473.93,228.9,982,75000,0
TXN00037653,CH_006340,MER_00775,healthcare,2023-09-20 10:22:44,10,2,201.16,IN,0,SWIPE,3,5,63.73,198.98,255.4,822,150000,0
TXN00052507,CH_002518,MER_00412,utilities,2023-09-08 14:30:21,14,4,100.84,IN,0,SWIPE,0,7,83.81,457.2,197.7,1264,75000,0
TXN00029951,CH_000831,MER_00029,fuel,2023-09-11 15:39:26,15,0,41.29,IN,0,CHIP,2,5,274.17,196.32,61.5,1703,500000,0
TXN00004319,CH_005202,MER_00132,online_retail,2023-01-24 03:04:09,3,1,1036.69,AU,1,CHIP,2,2,116.66,398.2,38.6,1462,100000,0
TXN00012365,CH_005386,MER_00077,healthcare,2023-04-20 16:10:45,16,3,320.28,IN,0,CNP,3,1,174.16,287.04,236.0,1540,200000,0
TXN00054018,CH_004249,MER_00800,travel,2023-09-16 15:21:00,15,5,144.1,IN,0,CHIP,1,8,39.28,393.6,145.5,1051,50000,0
TXN00016557,CH_000119,MER_00054,utilities,2023-11-27 05:10:31,5,0,137.46,IN,0,CHIP,1,3,70.22,523.98,29.6,1525,75000,0
TXN00049411,CH_004959,MER_00093,travel,2023-11-18 00:22:20,0,5,13.66,IN,0,CNP,0,1,41.55,344.17,100.7,327,200000,0
TXN00010935,CH_005608,MER_00002,healthcare,2023-05-11 11:26:28,11,3,64.21,IN,0,CHIP,1,4,202.13,254.58,226.4,1271,150000,0
TXN00038456,CH_006541,MER_00173,online_retail,2023-01-11 10:24:08,10,2,199.67,IN,0,CHIP,1,1,654.0,369.35,56.7,619,500000,0
TXN00039303,CH_005233,MER_00177,entertainment,2023-07-08 03:59:32,3,5,317.99,IN,0,CNP,0,1,60.45,368.32,112.5,649,300000,0
TXN00034301,CH_004254,MER_00481,restaurant,2023-09-19 17:36:47,17,1,91.03,CA,1,CHIP,1,4,46.87,310.89,242.2,347,75000,0
TXN00023636,CH_000465,MER_00355,jewellery,2023-05-27 14:38:25,14,5,1833.93,US,1,CHIP,2,8,88.7,568.08,286.9,895,200000,0
TXN00006168,CH_003944,MER_00670,healthcare,2023-05-24 19:37:20,19,2,201.53,IN,0,CHIP,1,5,66.37,286.17,59.8,998,150000,0
TXN00012980,CH_005759,MER_00529,electronics,2023-12-06 06:59:53,6,2,201.54,IN,0,CHIP,2,2,72.69,358.87,12.9,877,200000,0
TXN00046360,CH_005860,MER_00576,travel,2023-08-27 08:42:05,8,6,101.61,IN,0,SWIPE,1,6,105.45,214.82,6.7,401,300000,0
TXN00033892,CH_003572,MER_00086,healthcare,2023-04-16 21:05:45,21,6,198.93,FR,1,CNP,0,6,188.74,249.6,38.3,519,200000,0
TXN00013022,CH_001327,MER_00533,online_retail,2023-07-08 11:13:59,11,5,73.61,IN,0,CNP,2,6,66.69,275.4,267.8,1386,500000,0
TXN00026438,CH_004176,MER_00417,fuel,2023-09-15 01:27:42,1,4,490.62,SG,1,CHIP,1,6,221.45,176.62,128.0,599,500000,0
TXN00036595,CH_004893,MER_00434,healthcare,2023-09-19 07:51:41,7,1,8642.75,IN,0,CNP,6,21,106.29,177.91,7285.6,425,200000,1
TXN00021995,CH_007875,MER_00007,jewellery,2023-10-17 18:54:32,18,1,230.19,IN,0,CNP,1,8,105.39,207.89,45.9,834,150000,0
TXN00019300,CH_007784,MER_00738,jewellery,2023-06-04 01:21:18,1,6,78.92,IN,0,CHIP,2,3,230.47,296.15,22.5,376,300000,0
TXN00005600,CH_007428,MER_00493,restaurant,2023-07-31 11:13:39,11,0,146.09,IN,0,CHIP,0,5,123.34,243.43,137.6,1133,75000,0
